"","x"
"697",-0.0851265950548521
"698",-0.0834690663958009
"699",-0.118543381668121
"700",-0.119804122404961
"701",-0.105915050034519
"702",-0.1894046869275
"703",-0.158152296682779
"704",-0.231849475395755
"705",-0.0441774548685965
"706",-0.148824760275314
"707",-0.0524209056405679
"708",-0.0555424628648416
"709",-0.112281901510817
"710",-0.0626855586784796
"711",0.0144479619931546
"712",-0.13686340298783
"713",-0.0731525569692379
"714",-0.0566937047003333
"715",-0.0894128486448583
"716",-0.0644884335782002
"717",-0.0381620968718886
"718",-0.110094133563068
"719",-0.036383941271915
"720",-0.0580423082033058
"721",-0.12496641280763
"722",-0.0459734687279549
"723",-0.0893054272037514
"724",-0.0839089030725909
"725",-0.0861733220012777
"726",-0.0589004467189676
"727",-0.00160237346507169
"728",-0.0801638127456717
"729",-0.13821560995069
"730",-0.165452534225455
"731",-0.114789332847459
"732",-0.115175258812955
"733",-0.160155471288328
"734",-0.134130314895077
"735",-0.131985223022177
"736",-0.126855008746529
"737",-0.098037165877997
"738",-0.167506917987697
"739",-0.153672461622784
"740",-0.141508636487339
"741",-0.0186152472498514
"742",-0.13943076029942
"743",-0.134246020345145
"744",-0.0742256632044715
"745",-0.0852176031428113
"746",-0.0114889902789409
"747",-0.134958405264421
"748",-0.0661884268224063
"749",-0.222194384998289
"750",-0.0170825365498983
"751",-0.206789273124746
"752",-0.0857751501734476
"753",-0.107335736129063
"754",-0.113780892126703
"755",-0.182080893964538
"756",-0.159286167996182
"757",-0.0482531192678093
"758",-0.0434668937623683
"759",-0.126188477917508
"760",-0.0982822472096255
"761",-0.0935112981326109
"762",-0.167920739775505
"763",-0.0338705399698775
"764",-0.110875258269801
"765",-0.0864811903725057
"766",-0.0705034338748313
"767",0.0122236758035175
"768",-0.0827046175072398
"769",-0.103937654902106
"770",-0.0652532325760925
"771",-0.114516303120506
"772",-0.0656614963883871
"773",-0.117914955967186
"774",-0.040230562387121
"775",-0.152728381707611
"776",-0.131953293016
"777",-0.148905443156914
"778",-0.0770245871516023
"779",-0.286596920154751
"780",-0.0851499721986722
"781",-0.112120756848782
"782",-0.128767572260884
"783",-0.0587155610204633
"784",-0.144182230890078
"785",-0.159161560240332
"786",-0.209973798804008
"787",-0.0984387731018597
"788",-0.0462153037380986
"789",-0.0593355106827441
"790",-0.112611252165418
"791",-0.0387057499312583
"792",-0.114430175265233
"793",-0.0930061399779486
"794",-0.0912195899953422
"795",-0.0634580141892797
"796",-0.181174671243256
"797",-0.121895636292724
"798",-0.193653404032191
"799",-0.0756963220143765
"800",-0.0469298494082956
"801",-0.180090583692342
"802",-0.0436884810086604
"803",-0.121461962239554
"804",-0.125348480287626
"805",-0.229819422231678
"806",-0.0750307309258564
"807",-0.168107312642823
"808",-0.125794131605109
"809",-0.0742820360516361
"810",-0.0557468546570634
"811",-0.173057951075243
"812",-0.0874172547227976
"813",-0.192292661105851
"814",-0.0140997142286009
"815",-0.119755466854888
"816",-0.0531749291870933
"817",-0.139391248480583
"818",-0.0912267836268155
"819",-0.0601233706704946
"820",-0.0776494035661069
"821",-0.0696210891025842
"822",-0.0816679077537446
"823",-0.122870652757068
"824",-0.0806203779139101
"825",-0.127705732643334
"826",-0.050273957230407
"827",-0.0243310919875951
"828",-0.0279972208036902
"829",0.0286926449989481
"830",-0.037483511004424
"831",-0.0978788962364325
"832",-0.107110914679997
"833",-0.218131535738397
"834",-0.118507163045809
"835",-0.0912087330187971
"836",-0.0201154519968097
"837",-0.0875648415853253
"838",-0.0583248149636922
"839",-0.0372004555246554
"840",-0.0314235601632067
"841",-0.130030677253414
"842",-0.288950447722191
"843",-0.270269617478759
"844",-0.108339565720802
"845",0.00831181508665974
"846",-0.0638301234898043
"847",-0.0139617596412349
"848",-0.0550618331508204
"849",-0.123687650486783
"850",-0.146462117490402
"851",-0.0587849273560494
"852",-0.0881513897361264
"853",-0.139513605680187
"854",-0.0834150925903645
"855",-0.073893858423952
"856",-0.21261492048858
"857",-0.130636073770996
"858",-0.134807420983286
"859",-0.0489676201028809
"860",-0.124746649292971
"861",-0.168749181002386
"862",-0.102298079213035
"863",-0.0960799204244173
"864",-0.0907158176747153
"865",-0.0586068425132156
"866",-0.124193940955038
"867",-0.166737403961912
"868",-0.123351806317389
"869",-0.0149496264373463
"870",-0.0571144590887575
"871",-0.0595633858898375
"872",-0.108807825399251
"873",-0.0763844916484572
"874",0.00638363467547837
